PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,ContactPositionX,ContactPositionY,ContactPositionZ
21,04/16/2019,6:41:34 PM,4,2,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Lee, Dae Ho",71564,Right,LOT_GIA,Stretch,1,Bottom,2,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,118.6579868,0.944020587,-2.72802185,2486.519253,29.91733946,7:00,1.846602738,0.519096799,1.744769797,-180.0471865,-45.64830305,-26.19461007,0.314432348,-0.517821342,108.0003227,-12.31015144,-4.68228591,0.523543161,,,,,,,,,,,,11.64410958,-25.50414442,-0.447832765,15.24,1.857647447,1.638496832,-32.60411751,-0.04600577,1.574022691,7.079122325,-13.25423882,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,d294fce8-602b-11e9-af39-484d7ee4b922,,,
22,04/16/2019,6:42:01 PM,4,3,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Lee, Dae Ho",71564,Right,LOT_GIA,Stretch,1,Bottom,2,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,145.071029,-3.539145705,-2.373581576,2360.242011,220.4648161,1:15,1.797827582,0.612593316,1.903046911,-44.04432726,42.61031726,36.41691952,0.360403502,0.309163866,132.1105408,-6.809208203,0.349340328,0.420388263,,,,,,,,,,,,-21.70676468,25.97598659,-0.560966778,15.24,1.714879379,1.520192208,-39.89717833,-2.631238693,-4.490863713,8.916279942,-4.43253657,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,e2f5d6a6-602b-11e9-af39-484d7ee4b922,,,
23,04/16/2019,6:42:28 PM,4,4,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Lee, Dae Ho",71564,Right,LOT_GIA,Stretch,1,Bottom,2,2,1,Slider,Slider,InPlay,Undefined,LineDrive,Single,0,1,,133.0657854,-0.526255092,-2.854203671,2292.516194,129.8062697,10:15,1.832974938,0.547408444,1.830004932,-93.94569528,9.226709801,-11.18818056,0.744727394,-0.371099462,122.3367188,-7.448554833,-3.682675316,0.45870813,135.2500589,16.51964784,8.318928453,1176.67933,32.86511419,5.54308143,6.63363789,62.15712296,62.14060642,13.08722687,2.103331909,4.02257615,5.373071042,-0.478328864,15.24,1.814167724,1.866776779,-36.64807808,-0.669819903,0.705947012,7.170615678,-8.863696205,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,eed29ded-602b-11e9-af39-484d7ee4b922,0.439790361,0.745773931,0.370585208
24,04/16/2019,6:43:20 PM,5,1,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Oh, Yoon Suk",64504,Right,LOT_GIA,Stretch,1,Bottom,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.4032698,-3.374170893,-2.795744239,2532.258201,180.2980902,12:00,1.837742787,0.554848459,1.892724462,-28.85848738,59.13386583,0.308086353,0.597835443,-0.229086211,130.6942932,-5.521291089,-2.772708814,0.423620654,,,,,,,,,,,,-2.375951078,35.01387007,-0.490990699,15.24,1.758797769,1.937202808,-39.69246302,-2.448586298,-0.484099293,9.210102156,-2.672584863,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,1223d322-602c-11e9-af39-484d7ee4b922,,,
25,04/16/2019,6:43:41 PM,5,2,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Oh, Yoon Suk",64504,Right,LOT_GIA,Stretch,1,Bottom,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.551783,-1.780384859,-2.110084612,2441.520742,212.7050416,1:00,1.805711041,0.620277594,1.937604606,-40.00697916,47.91486376,30.819831,0.905746953,0.336333487,130.3310852,-4.77196553,0.200731987,0.423450891,,,,,,,,,,,,-18.54111723,27.68298079,-0.575478194,15.24,1.764160915,1.347692975,-39.54722737,-1.372125433,-3.764040259,8.860182191,-4.186716049,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,1b90157b-602c-11e9-af39-484d7ee4b922,,,
26,04/16/2019,6:44:00 PM,5,3,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Oh, Yoon Suk",64504,Right,LOT_GIA,Stretch,1,Bottom,2,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,143.9703935,-2.58456234,-2.694357631,2442.766779,210.4817269,1:00,1.804674194,0.567855024,1.969993976,-38.97217186,48.39521437,28.53452566,0.690156361,0.098404792,130.5197205,-5.503711996,-0.549748713,0.422113587,101.9769636,48.02088418,51.54493558,5535.822324,16.48092268,18.90963511,29.1976797,49.18642085,46.17308176,66.07855662,4.047088013,-17.83899837,28.71484409,-0.511468987,15.24,1.746961108,1.765714684,-39.62682652,-1.926112457,-3.62879751,9.050293113,-3.965494989,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,2ca15342-602c-11e9-af39-484d7ee4b922,0.221349835,0.669795238,-0.096445796
27,04/16/2019,6:44:29 PM,5,4,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Oh, Yoon Suk",64504,Right,LOT_GIA,Stretch,1,Bottom,2,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,121.9998067,1.511615362,-0.959135305,2640.162782,28.54051316,7:00,1.82135396,0.542941543,1.73623196,-176.8915086,-49.97038938,-27.11257259,0.481916642,-0.000616236,110.7376831,-11.55078657,-2.985531192,0.508770131,,,,,,,,,,,,13.74867794,-28.30391348,-0.51644607,15.24,1.847108767,0.652688588,-33.54989032,0.291694143,1.970628392,7.421241229,-13.86351247,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,36682a0d-602c-11e9-af39-484d7ee4b922,,,
28,04/16/2019,6:46:41 PM,1,1,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Choi, Hyoung Woo",72443,Left,KIA_TIG,Windup,2,Top,0,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,143.0350656,-1.545107157,-1.595299789,2261.228354,211.9059518,1:00,1.820340387,0.344791478,1.796924454,-44.43185964,44.92242516,28.02052749,0.938552875,0.173484549,130.9782486,-4.824468469,0.479077977,0.426886432,,,,,,,,,,,,-16.21246532,25.29054838,-0.30763045,15.24,1.779388418,0.988602095,-39.415367,-1.236643216,-3.300303065,8.080476921,-4.658359922,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,86f067a9-602c-11e9-af39-484d7ee4b922,,,
29,04/16/2019,6:46:57 PM,1,2,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Choi, Hyoung Woo",72443,Left,KIA_TIG,Windup,2,Top,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,134.5604187,-0.616104075,-0.488774556,2284.704303,132.7787201,10:30,1.827367798,0.348313079,1.687974524,-86.33755779,14.72346698,-16.01443695,0.788478775,0.048935482,125.2499496,-6.891746267,-1.659099446,0.453990232,,,,,,,,,,,,8.203937905,8.180599242,-0.334125885,15.24,1.804189483,0.379779636,-37.11953236,-0.739447826,1.500463842,6.274543321,-8.310454696,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,8da4a309-602c-11e9-af39-484d7ee4b922,,,
30,04/16/2019,6:47:19 PM,1,3,"Kim, Kun Kuk",76225,Right,LOT_GIA,"Choi, Hyoung Woo",72443,Left,KIA_TIG,Windup,2,Top,0,0,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,144.9976216,-0.018386706,-1.451966662,2316.917697,208.9622935,1:00,1.788533394,0.395937221,1.799593238,-40.61279366,46.28201476,25.65995443,1.377202062,0.241677519,132.471785,-3.024068352,0.44859257,0.420970415,,,,,,,,,,,,-14.85331639,24.97682221,-0.362188031,15.24,1.78528812,0.912035478,-39.97224154,-0.172911975,-3.107766645,8.358859082,-4.580737286,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,a029ba88-602c-11e9-af39-484d7ee4b922,,,
