PitchCall	PlateLocHeight	PlateLocSide
BallCalled	0.241848571	0.108984706
StrikeSwinging	0.421479084	0.083766845
FoulBall	0.56635942	-0.032672002
InPlay	0.701847459	-0.307748244
InPlay	0.806082353	0.036660859
StrikeCalled	0.604019932	-0.136409017
FoulBall	0.728309604	-0.068822411
BallCalled	0.28221781	-0.205195614
InPlay	0.787407733	-0.104259052
BallCalled	-0.198687747	-0.35147043
InPlay	0.600368749	0.005865241
BallCalled	0.276868866	0.034243506
InPlay	0.891232237	0.129292517
BallCalled	1.158743744	0.109705472
StrikeCalled	0.721210514	0.296123745
BallCalled	0.755819879	0.356551717
StrikeCalled	0.867462986	0.11365627
StrikeSwinging	0.947450112	0.175312588
StrikeCalled	0.913826764	0.048709898
InPlay	0.576929719	-0.185491902
StrikeCalled	0.717319968	0.345241089
StrikeSwinging	1.003077849	0.174062943
BallCalled	1.447338923	0.145496808
FoulBall	0.744330184	0.110441911
BallCalled	1.021593232	0.285249446
StrikeCalled	0.722121287	0.346655223
BallCalled	0.657551331	-0.387045823
BallCalled	0.374193069	-0.172614321
InPlay	0.463954253	-0.107720116
